run_timestamp,league_id,league,event_id,date,time,status,timezone,home,home_team_id,home_logo,home_goals,away,away_team_id,away_logo,away_goals,phase1_status,odds_source,sportsbet_event_id,sportsbet_home_name,sportsbet_away_name,home_odds,draw_odds,away_odds,implied_home,implied_draw,implied_away,overround,fair_home,fair_draw,fair_away,match_method,match_score,source_health,phase2_status,phase2_notes
2026-06-18 03:05:04 ACST,16,FIFA World Cup,espn:760435,2026-06-18,02:30,live,Australia/Adelaide,Portugal,482,https://a.espncdn.com/i/teamlogos/countries/500/por.png,1,Congo DR,2850,https://a.espncdn.com/i/teamlogos/countries/500/rdc.png,0,ready_for_phase_2,,,,,,,,,,,,,,,none,0.0,healthy,unmatched_market,No Sportsbet event matched this fixture.
2026-06-18 03:05:04 ACST,16,FIFA World Cup,espn:760437,2026-06-18,05:30,upcoming,Australia/Adelaide,England,448,https://a.espncdn.com/i/teamlogos/countries/500/eng.png,,Croatia,477,https://a.espncdn.com/i/teamlogos/countries/500/cro.png,,ready_for_phase_2,Sportsbet,9924163,England,Croatia,1.7,3.75,5.0,0.5882,0.2667,0.2,1.0549,0.5576,0.2528,0.1896,exact,1.0,healthy,ready_for_phase_3,Clean Phase 2 odds.
2026-06-18 03:05:04 ACST,16,FIFA World Cup,espn:760434,2026-06-18,08:30,upcoming,Australia/Adelaide,Ghana,4469,https://a.espncdn.com/i/teamlogos/countries/500/gha.png,,Panama,2659,https://a.espncdn.com/i/teamlogos/countries/500/pan.png,,ready_for_phase_2,Sportsbet,9924164,Ghana,Panama,2.38,3.2,3.3,0.4202,0.3125,0.303,1.0357,0.4057,0.3017,0.2926,exact,1.0,healthy,ready_for_phase_3,Clean Phase 2 odds.
2026-06-18 03:05:04 ACST,16,FIFA World Cup,espn:760436,2026-06-18,11:30,upcoming,Australia/Adelaide,Uzbekistan,2570,https://a.espncdn.com/i/teamlogos/countries/500/uzb.png,,Colombia,208,https://a.espncdn.com/i/teamlogos/countries/500/col.png,,ready_for_phase_2,Sportsbet,9924035,Uzbekistan,Colombia,10.0,4.75,1.36,0.1,0.2105,0.7353,1.0458,0.0956,0.2013,0.7031,exact,1.0,healthy,ready_for_phase_3,Clean Phase 2 odds.
2026-06-18 03:05:04 ACST,16,FIFA World Cup,espn:760438,2026-06-19,01:30,upcoming,Australia/Adelaide,Czechia,450,https://a.espncdn.com/i/teamlogos/countries/500/cze.png,,South Africa,467,https://a.espncdn.com/i/teamlogos/countries/500/rsa.png,,ready_for_phase_2,Sportsbet,10472335,Czechia,South Africa,1.75,3.75,4.75,0.5714,0.2667,0.2105,1.0486,0.5449,0.2543,0.2007,exact,1.0,healthy,ready_for_phase_3,Clean Phase 2 odds.
2026-06-18 03:05:04 ACST,16,FIFA World Cup,espn:760439,2026-06-19,04:30,upcoming,Australia/Adelaide,Switzerland,475,https://a.espncdn.com/i/teamlogos/countries/500/sui.png,,Bosnia-Herzegovina,452,https://a.espncdn.com/i/teamlogos/countries/500/bih.png,,ready_for_phase_2,,,,,,,,,,,,,,,none,0.0,healthy,unmatched_market,No Sportsbet event matched this fixture.
2026-06-18 03:05:04 ACST,16,FIFA World Cup,espn:760440,2026-06-19,07:30,upcoming,Australia/Adelaide,Canada,206,https://a.espncdn.com/i/teamlogos/countries/500/can.png,,Qatar,4398,https://a.espncdn.com/i/teamlogos/countries/500/qat.png,,ready_for_phase_2,Sportsbet,10425263,Canada,Qatar,1.25,5.5,11.0,0.8,0.1818,0.0909,1.0727,0.7458,0.1695,0.0847,exact,1.0,healthy,ready_for_phase_3,Clean Phase 2 odds.
2026-06-18 03:05:04 ACST,16,FIFA World Cup,espn:760441,2026-06-19,10:30,upcoming,Australia/Adelaide,Mexico,203,https://a.espncdn.com/i/teamlogos/countries/500/mex.png,,South Korea,451,https://a.espncdn.com/i/teamlogos/countries/500/kors.png,,ready_for_phase_2,Sportsbet,10425265,Mexico,South Korea,2.0,3.4,4.0,0.5,0.2941,0.25,1.0441,0.4789,0.2817,0.2394,exact,1.0,healthy,ready_for_phase_3,Clean Phase 2 odds.
2026-06-18 03:05:04 ACST,16,FIFA World Cup,espn:760442,2026-06-20,04:30,upcoming,Australia/Adelaide,United States,660,https://a.espncdn.com/i/teamlogos/countries/500/usa.png,,Australia,628,https://a.espncdn.com/i/teamlogos/countries/500/aus.png,,ready_for_phase_2,,,,,,,,,,,,,,,none,0.0,healthy,unmatched_market,No Sportsbet event matched this fixture.
2026-06-18 03:05:04 ACST,16,FIFA World Cup,espn:760445,2026-06-20,07:30,upcoming,Australia/Adelaide,Scotland,580,https://a.espncdn.com/i/teamlogos/countries/500/sco.png,,Morocco,2869,https://a.espncdn.com/i/teamlogos/countries/500/mar.png,,ready_for_phase_2,Sportsbet,10472473,Scotland,Morocco,5.5,3.6,1.73,0.1818,0.2778,0.578,1.0376,0.1752,0.2677,0.5571,exact,1.0,healthy,ready_for_phase_3,Clean Phase 2 odds.
2026-06-18 03:05:04 ACST,16,FIFA World Cup,espn:760444,2026-06-20,10:00,upcoming,Australia/Adelaide,Brazil,205,https://a.espncdn.com/i/teamlogos/countries/500/bra.png,,Haiti,2654,https://a.espncdn.com/i/teamlogos/countries/500/hai.png,,ready_for_phase_2,Sportsbet,10472333,Brazil,Haiti,1.1,11.0,23.0,0.9091,0.0909,0.0435,1.0435,0.8712,0.0871,0.0417,exact,1.0,healthy,ready_for_phase_3,Clean Phase 2 odds.
2026-06-18 03:05:04 ACST,16,FIFA World Cup,espn:760443,2026-06-20,12:30,upcoming,Australia/Adelaide,Türkiye,465,https://a.espncdn.com/i/teamlogos/countries/500/tur.png,,Paraguay,210,https://a.espncdn.com/i/teamlogos/countries/500/par.png,,ready_for_phase_2,Sportsbet,10472318,Türkiye,Paraguay,2.0,3.4,4.0,0.5,0.2941,0.25,1.0441,0.4789,0.2817,0.2394,exact,1.0,healthy,ready_for_phase_3,Clean Phase 2 odds.
2026-06-18 03:05:04 ACST,16,FIFA World Cup,espn:760447,2026-06-21,02:30,upcoming,Australia/Adelaide,Netherlands,449,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,,Sweden,466,https://a.espncdn.com/i/teamlogos/countries/500/swe.png,,ready_for_phase_2,Sportsbet,10425352,Netherlands,Sweden,1.73,3.9,5.0,0.578,0.2564,0.2,1.0344,0.5588,0.2479,0.1933,exact,1.0,healthy,ready_for_phase_3,Clean Phase 2 odds.
2026-06-18 03:05:04 ACST,16,FIFA World Cup,espn:760448,2026-06-21,05:30,upcoming,Australia/Adelaide,Germany,481,https://a.espncdn.com/i/teamlogos/countries/500/ger.png,,Ivory Coast,4789,https://a.espncdn.com/i/teamlogos/countries/500/civ.png,,ready_for_phase_2,Sportsbet,10425302,Germany,Ivory Coast,1.5,4.6,6.0,0.6667,0.2174,0.1667,1.0508,0.6345,0.2069,0.1586,exact,1.0,healthy,ready_for_phase_3,Clean Phase 2 odds.
2026-06-18 03:05:04 ACST,16,FIFA World Cup,espn:760446,2026-06-21,09:30,upcoming,Australia/Adelaide,Ecuador,209,https://a.espncdn.com/i/teamlogos/countries/500/ecu.png,,Curaçao,11678,https://a.espncdn.com/i/teamlogos/soccer/500/11678.png,,ready_for_phase_2,Sportsbet,10425329,Ecuador,Curacao,1.1,11.0,23.0,0.9091,0.0909,0.0435,1.0435,0.8712,0.0871,0.0417,exact,1.0,healthy,ready_for_phase_3,Clean Phase 2 odds.
2026-06-18 03:05:04 ACST,16,FIFA World Cup,espn:760449,2026-06-21,13:30,upcoming,Australia/Adelaide,Tunisia,659,https://a.espncdn.com/i/teamlogos/countries/500/tun.png,,Japan,627,https://a.espncdn.com/i/teamlogos/countries/500/jpn.png,,ready_for_phase_2,Sportsbet,10425283,Tunisia,Japan,7.0,4.0,1.53,0.1429,0.25,0.6536,1.0465,0.1366,0.2389,0.6246,exact,1.0,healthy,ready_for_phase_3,Clean Phase 2 odds.
2026-06-18 03:05:04 ACST,16,FIFA World Cup,espn:760453,2026-06-22,01:30,upcoming,Australia/Adelaide,Spain,164,https://a.espncdn.com/i/teamlogos/countries/500/esp.png,,Saudi Arabia,655,https://a.espncdn.com/i/teamlogos/countries/500/ksa.png,,ready_for_phase_2,Sportsbet,10425351,Spain,Saudi Arabia,1.11,10.0,21.0,0.9009,0.1,0.0476,1.0485,0.8592,0.0954,0.0454,exact,1.0,healthy,ready_for_phase_3,Clean Phase 2 odds.
